category,Maestría,Curso,Código,Pregunta,Respuesta
short_answer,Maestría en Computación,Análisis de Algoritmos,MC6102,¿Qué porcentaje de la evaluación corresponde a los exámenes parciales?,50%
short_answer,Maestría en Computación,Análisis de Algoritmos,MC6102,¿Cuál es el libro de texto de carácter obligatorio?,Fundamentos de Algoritmia de Brassard y Bratley
short_answer,Maestría en Computación,Diseño de Experimentos,MC6104,¿Es este curso obligatorio o electivo?,Electivo
short_answer,Maestría en Computación,Diseño de Experimentos,MC6104,¿De qué curso de Seminario de Investigación es requisito?,MC-7203 – Seminario de Investigación - Tesis II
short_answer,Maestría en Computación,Diseño de Experimentos,MC6104,¿Qué porcentaje de la nota final representan los proyectos?,35%
short_answer,Maestría en Computación,Diseño de Experimentos,MC6104,¿En qué idioma deben escribirse los reportes de los proyectos?,Inglés
short_answer,Maestría en Computación,Diseño de Experimentos,MC6104,¿Permite el curso la suficiencia?,No
short_answer,Maestría en Computación,Diseño de Experimentos,MC6104,¿Qué porcentaje de la nota corresponde al segundo examen parcial?,25%
short_answer,Maestría en Computación,Introducción a la Investigación,MC7201,¿Cuál es el correquisito obligatorio de este curso?,MC-7205 Tema Selecto de Investigación
short_answer,Maestría en Computación,Introducción a la Investigación,MC7201,¿Qué porcentaje de la nota final representa la presentación?,25%
short_answer,Maestría en Computación,Introducción a la Investigación,MC7201,¿Qué herramienta es obligatoria para preparar las presentaciones?,Beamer
short_answer,Maestría en Computación,Introducción a la Investigación,MC7201,¿En qué idioma debe escribirse el paper de investigación?,Inglés
short_answer,Maestría en Computación,Introducción a la Investigación,MC7201,¿Quién es el profesor titular del curso?,Dr. Francisco J. Torres-Rojas
short_answer,Maestría en Computación,Introducción a la Investigación,MC7201,¿Permite el curso la posibilidad de reconocimiento?,Sí
