model_key,category,question,composed_question,expected_answer,predicted_answer,generation_time_s,curso,codigo,error
deepseek-r1-14b-4bit,binary,¿Se ubica el curso en el primer trimestre del plan de estudios?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Se ubica el curso en el primer trimestre del plan de estudios?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.22,Políticas y Gobernanza en Ciberseguridad,MC1006,
deepseek-r1-14b-4bit,binary,¿El estudio de casos vale un 40% de la calificación?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿El estudio de casos vale un 40% de la calificación?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.2,Políticas y Gobernanza en Ciberseguridad,MC1006,
deepseek-r1-14b-4bit,binary,¿Es un curso electivo?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,9.11,Seguridad de Software Avanzado,MC3001,
deepseek-r1-14b-4bit,binary,¿Es obligatoria la asistencia?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Es obligatoria la asistencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.11,Seguridad de Software Avanzado,MC3001,
deepseek-r1-14b-4bit,binary,¿Tiene requisitos previos?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Tiene requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,9.03,Seguridad de Software Avanzado,MC3001,
deepseek-r1-14b-4bit,binary,¿Es requisito para el curso de Seguridad en la Nube?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Es requisito para el curso de Seguridad en la Nube?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.13,Seguridad de Software Avanzado,MC3001,
deepseek-r1-14b-4bit,binary,¿Se permite la suficiencia?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿Se permite la suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,9.28,Seguridad de Software Avanzado,MC3001,
deepseek-r1-14b-4bit,binary,¿El examen final vale el 30% de la nota?,"En el curso Seguridad de Software Avanzado de la Maestría en Ciberseguridad, ¿El examen final vale el 30% de la nota?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.25,Seguridad de Software Avanzado,MC3001,
deepseek-r1-14b-4bit,binary,¿Es el curso de tipo electivo?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Es el curso de tipo electivo?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.24,Cibercrimen,MC3010,
deepseek-r1-14b-4bit,binary,¿Es obligatoria la asistencia?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Es obligatoria la asistencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.2,Cibercrimen,MC3010,
deepseek-r1-14b-4bit,binary,¿Tiene requisitos o correquisitos?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Tiene requisitos o correquisitos?

Responde únicamente con 'Sí' o 'No'.",No,No,9.18,Cibercrimen,MC3010,
deepseek-r1-14b-4bit,binary,¿Se permite la suficiencia para este curso?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Se permite la suficiencia para este curso?

Responde únicamente con 'Sí' o 'No'.",No,No,9.15,Cibercrimen,MC3010,
deepseek-r1-14b-4bit,binary,¿Existe la posibilidad de reconocimiento?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿Existe la posibilidad de reconocimiento?

Responde únicamente con 'Sí' o 'No'.",No,No,9.1,Cibercrimen,MC3010,
deepseek-r1-14b-4bit,binary,¿La investigación social aplicada tiene un peso del 40%?,"En el curso Cibercrimen de la Maestría en Ciberseguridad, ¿La investigación social aplicada tiene un peso del 40%?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.08,Cibercrimen,MC3010,
deepseek-r1-14b-4bit,binary,¿Es un curso obligatorio?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿Es un curso obligatorio?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.15,Sistemas Estratégicos Empresariales,MC1101,
deepseek-r1-14b-4bit,binary,¿Tiene requisitos o correquisitos previos?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿Tiene requisitos o correquisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,9.19,Sistemas Estratégicos Empresariales,MC1101,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.18,Sistemas Estratégicos Empresariales,MC1101,
deepseek-r1-14b-4bit,binary,¿Existe la posibilidad de suficiencia?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿Existe la posibilidad de suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,9.08,Sistemas Estratégicos Empresariales,MC1101,
deepseek-r1-14b-4bit,binary,¿Es posible el reconocimiento del curso?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",No,No,9.09,Sistemas Estratégicos Empresariales,MC1101,
deepseek-r1-14b-4bit,binary,¿La investigación en sistema empresarial vale un 40%?,"En el curso Sistemas Estratégicos Empresariales de la Maestría en Gerencia de Tecnologías de la Información, ¿La investigación en sistema empresarial vale un 40%?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.22,Sistemas Estratégicos Empresariales,MC1101,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.23,Gerencia de Tecnología de Información,MC1103,
deepseek-r1-14b-4bit,binary,¿Tiene el curso requisitos previos?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿Tiene el curso requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,9.2,Gerencia de Tecnología de Información,MC1103,
deepseek-r1-14b-4bit,binary,¿Se permite la suficiencia?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿Se permite la suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,9.15,Gerencia de Tecnología de Información,MC1103,
deepseek-r1-14b-4bit,binary,¿Es posible el reconocimiento del curso?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",No,No,9.09,Gerencia de Tecnología de Información,MC1103,
deepseek-r1-14b-4bit,binary,¿El estudio de casos vale un 40% de la nota?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿El estudio de casos vale un 40% de la nota?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.04,Gerencia de Tecnología de Información,MC1103,
deepseek-r1-14b-4bit,binary,¿Requiere el curso la elaboración de una investigación bibliográfica?,"En el curso Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información, ¿Requiere el curso la elaboración de una investigación bibliográfica?

Responde únicamente con 'Sí' o 'No'.",Sí,"No.

**Paso a paso:**

1. **Identificar el curso en cuestión:** Gerencia de Tecnología de Información de la Maestría en Gerencia de Tecnologías de la Información.

2. **Revisar los documentos proporcionados:** Buscar en los documentos el programa del curso MC1103.

3. **Revisar los objetivos y contenidos:** Verificar si se menciona la elaboración de una investigación bibliográfica.

4. **Revisar la metodología y evaluación:** Observar si se incluye la realización de una investigación bibliográfica como parte",22.01,Gerencia de Tecnología de Información,MC1103,
deepseek-r1-14b-4bit,binary,¿Es este un curso obligatorio?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Es este un curso obligatorio?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.32,Administración Financiera de TI,MC1201,
deepseek-r1-14b-4bit,binary,¿Se permite el reconocimiento del curso?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Se permite el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.38,Administración Financiera de TI,MC1201,
deepseek-r1-14b-4bit,binary,¿Existe la posibilidad de suficiencia?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Existe la posibilidad de suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,9.33,Administración Financiera de TI,MC1201,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.25,Administración Financiera de TI,MC1201,
deepseek-r1-14b-4bit,binary,¿Se ubica en el segundo semestre del programa?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Se ubica en el segundo semestre del programa?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí.,16.79,Administración Financiera de TI,MC1201,
deepseek-r1-14b-4bit,binary,¿Los dos exámenes parciales valen un 50% en total?,"En el curso Administración Financiera de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Los dos exámenes parciales valen un 50% en total?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.09,Administración Financiera de TI,MC1201,
deepseek-r1-14b-4bit,binary,¿Es un curso obligatorio?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿Es un curso obligatorio?

Responde únicamente con 'Sí' o 'No'.",No,No,9.08,Administración y Estrategia de Proyectos I,MC1203,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.1,Administración y Estrategia de Proyectos I,MC1203,
deepseek-r1-14b-4bit,binary,¿Es requisito para el curso de Administración y Estrategia de Proyectos II?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿Es requisito para el curso de Administración y Estrategia de Proyectos II?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.09,Administración y Estrategia de Proyectos I,MC1203,
deepseek-r1-14b-4bit,binary,¿Permite el curso la suficiencia?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿Permite el curso la suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,9.18,Administración y Estrategia de Proyectos I,MC1203,
deepseek-r1-14b-4bit,binary,¿Existe la posibilidad de reconocimiento?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿Existe la posibilidad de reconocimiento?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.26,Administración y Estrategia de Proyectos I,MC1203,
deepseek-r1-14b-4bit,binary,¿La resolución de casos prácticos vale un 25%?,"En el curso Administración y Estrategia de Proyectos I de la Maestría en Gerencia de Tecnologías de la Información, ¿La resolución de casos prácticos vale un 25%?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.25,Administración y Estrategia de Proyectos I,MC1203,
deepseek-r1-14b-4bit,binary,¿Es un curso obligatorio?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Es un curso obligatorio?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.2,Planificación Estratégica de TI,MC2301,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.18,Planificación Estratégica de TI,MC2301,
deepseek-r1-14b-4bit,binary,¿Se reprueba el curso con 4 faltas de asistencia injustificadas?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Se reprueba el curso con 4 faltas de asistencia injustificadas?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.09,Planificación Estratégica de TI,MC2301,
deepseek-r1-14b-4bit,binary,¿Existe la posibilidad de suficiencia?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Existe la posibilidad de suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,9.09,Planificación Estratégica de TI,MC2301,
deepseek-r1-14b-4bit,binary,¿Se permite el reconocimiento del curso?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿Se permite el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",No,No,9.16,Planificación Estratégica de TI,MC2301,
deepseek-r1-14b-4bit,binary,¿La resolución de casos vale un 40% de la nota?,"En el curso Planificación Estratégica de TI de la Maestría en Gerencia de Tecnologías de la Información, ¿La resolución de casos vale un 40% de la nota?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.15,Planificación Estratégica de TI,MC2301,
deepseek-r1-14b-4bit,binary,¿Es un curso electivo?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,9.13,Teoría de Autómatas,MC6003,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.2,Teoría de Autómatas,MC6003,
deepseek-r1-14b-4bit,binary,¿Se permite la suficiencia?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿Se permite la suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.17,Teoría de Autómatas,MC6003,
deepseek-r1-14b-4bit,binary,¿Es posible el reconocimiento del curso?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.14,Teoría de Autómatas,MC6003,
deepseek-r1-14b-4bit,binary,¿Tiene requisitos previos?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿Tiene requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,9.07,Teoría de Autómatas,MC6003,
deepseek-r1-14b-4bit,binary,¿El examen final vale el 30%?,"En el curso Teoría de Autómatas de la Maestría en Computación, ¿El examen final vale el 30%?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.12,Teoría de Autómatas,MC6003,
deepseek-r1-14b-4bit,binary,¿Es un curso electivo?,"En el curso Sistemas Operativos Avanzados de la Maestría en Computación, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,9.17,Sistemas Operativos Avanzados,MC6004,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Sistemas Operativos Avanzados de la Maestría en Computación, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.2,Sistemas Operativos Avanzados,MC6004,
deepseek-r1-14b-4bit,binary,"¿Es requisito para ""Redes de Computadores Avanzadas""?","En el curso Sistemas Operativos Avanzados de la Maestría en Computación, ¿Es requisito para ""Redes de Computadores Avanzadas""?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.1,Sistemas Operativos Avanzados,MC6004,
deepseek-r1-14b-4bit,binary,¿Permite el curso la suficiencia?,"En el curso Sistemas Operativos Avanzados de la Maestría en Computación, ¿Permite el curso la suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.05,Sistemas Operativos Avanzados,MC6004,
deepseek-r1-14b-4bit,binary,¿Se permite el reconocimiento?,"En el curso Sistemas Operativos Avanzados de la Maestría en Computación, ¿Se permite el reconocimiento?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.08,Sistemas Operativos Avanzados,MC6004,
deepseek-r1-14b-4bit,binary,¿Los proyectos programados valen un 30%?,"En el curso Sistemas Operativos Avanzados de la Maestría en Computación, ¿Los proyectos programados valen un 30%?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.14,Sistemas Operativos Avanzados,MC6004,
deepseek-r1-14b-4bit,binary,¿Es un curso electivo?,"En el curso Análisis de Algoritmos de la Maestría en Computación, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,9.15,Análisis de Algoritmos,MC6102,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Análisis de Algoritmos de la Maestría en Computación, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.24,Análisis de Algoritmos,MC6102,
deepseek-r1-14b-4bit,binary,¿Existe la posibilidad de suficiencia?,"En el curso Análisis de Algoritmos de la Maestría en Computación, ¿Existe la posibilidad de suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.19,Análisis de Algoritmos,MC6102,
deepseek-r1-14b-4bit,binary,¿Se permite el reconocimiento del curso?,"En el curso Análisis de Algoritmos de la Maestría en Computación, ¿Se permite el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.12,Análisis de Algoritmos,MC6102,
deepseek-r1-14b-4bit,binary,¿Las tareas e investigaciones valen el 50% de la nota?,"En el curso Análisis de Algoritmos de la Maestría en Computación, ¿Las tareas e investigaciones valen el 50% de la nota?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.06,Análisis de Algoritmos,MC6102,
deepseek-r1-14b-4bit,binary,¿Se imparte el curso los martes por la noche?,"En el curso Análisis de Algoritmos de la Maestría en Computación, ¿Se imparte el curso los martes por la noche?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.11,Análisis de Algoritmos,MC6102,
deepseek-r1-14b-4bit,binary,¿Es este un curso electivo?,"En el curso Diseño de Experimentos de la Maestría en Computación, ¿Es este un curso electivo?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.19,Diseño de Experimentos,MC6104,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Diseño de Experimentos de la Maestría en Computación, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.23,Diseño de Experimentos,MC6104,
deepseek-r1-14b-4bit,binary,¿Se permite la suficiencia?,"En el curso Diseño de Experimentos de la Maestría en Computación, ¿Se permite la suficiencia?

Responde únicamente con 'Sí' o 'No'.",No,No,9.16,Diseño de Experimentos,MC6104,
deepseek-r1-14b-4bit,binary,¿Es posible el reconocimiento del curso?,"En el curso Diseño de Experimentos de la Maestría en Computación, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",No,No,9.11,Diseño de Experimentos,MC6104,
deepseek-r1-14b-4bit,binary,¿Requiere conocimientos previos de Probabilidades?,"En el curso Diseño de Experimentos de la Maestría en Computación, ¿Requiere conocimientos previos de Probabilidades?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.14,Diseño de Experimentos,MC6104,
deepseek-r1-14b-4bit,binary,¿La presentación oral tiene un valor del 5%?,"En el curso Diseño de Experimentos de la Maestría en Computación, ¿La presentación oral tiene un valor del 5%?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.07,Diseño de Experimentos,MC6104,
deepseek-r1-14b-4bit,binary,¿Es un curso electivo?,"En el curso Introducción a la Investigación de la Maestría en Computación, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,9.08,Introducción a la Investigación,MC7201,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Introducción a la Investigación de la Maestría en Computación, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.15,Introducción a la Investigación,MC7201,
deepseek-r1-14b-4bit,binary,¿Permite el curso la suficiencia?,"En el curso Introducción a la Investigación de la Maestría en Computación, ¿Permite el curso la suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.16,Introducción a la Investigación,MC7201,
deepseek-r1-14b-4bit,binary,¿Es posible el reconocimiento?,"En el curso Introducción a la Investigación de la Maestría en Computación, ¿Es posible el reconocimiento?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.17,Introducción a la Investigación,MC7201,
deepseek-r1-14b-4bit,binary,"¿Es ""Tema Selecto de Investigación"" un correquisito?","En el curso Introducción a la Investigación de la Maestría en Computación, ¿Es ""Tema Selecto de Investigación"" un correquisito?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.15,Introducción a la Investigación,MC7201,
deepseek-r1-14b-4bit,binary,¿La presentación tiene un valor del 25%?,"En el curso Introducción a la Investigación de la Maestría en Computación, ¿La presentación tiene un valor del 25%?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.13,Introducción a la Investigación,MC7201,
deepseek-r1-14b-4bit,short_answer,¿Cuántos créditos tiene el curso?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Cuántos créditos tiene el curso?

Da una respuesta breve y directa, en una sola frase.",4 créditos,El curso Análisis de Datos en Ciberseguridad tiene 4 créditos.,9.84,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,short_answer,¿En qué trimestre del plan de estudios se ubica?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿En qué trimestre del plan de estudios se ubica?

Da una respuesta breve y directa, en una sola frase.",Tercer trimestre,El curso Análisis de Datos en Ciberseguridad se ubica en el tercer trimestre del plan de estudios de la Maestría en Ciberseguridad.,10.57,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,short_answer,¿Qué porcentaje de la nota final representan los laboratorios?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Qué porcentaje de la nota final representan los laboratorios?

Da una respuesta breve y directa, en una sola frase.",75%,"En el curso Análisis de Datos en Ciberseguridad, los laboratorios representan el 75% de la nota final.",10.33,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,short_answer,¿Permite el curso la modalidad de suficiencia?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Permite el curso la modalidad de suficiencia?

Da una respuesta breve y directa, en una sola frase.",Sí,"Sí, el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad permite la modalidad de suficiencia.",10.65,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,short_answer,¿Cuál es la vigencia del programa?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Cuál es la vigencia del programa?

Da una respuesta breve y directa, en una sola frase.",2023,La vigencia del programa del curso Análisis de Datos en Ciberseguridad es 2023.,10.3,Análisis de Datos en Ciberseguridad,MC1001,
